533;7;127
5;7;107
302;7;1051
306;7;545
312;7;83
324;7;198
330;7;293
487;7;443
530;7;226
10;7;11
29;7;35
533;39;14
533;12;2354
533;40;47
533;13;59
533;11;25
533;14;16
533;44;1132645504
5;39;10
5;12;91
5;18;2
5;13;3
5;11;3
5;15;1
5;16;1
5;44;3533713920
302;39;154
302;12;16062
302;40;130
302;18;5
302;13;396
302;11;122
302;15;2
302;14;83
302;16;3
302;44;3909815808
306;39;43
306;12;13061
306;40;140
306;18;2
306;13;278
306;11;51
306;14;91
306;16;2
306;44;1249042816
312;39;4
312;12;3001
312;40;7
312;18;1
312;13;61
312;11;6
312;14;11
312;16;1
312;44;1336127360
324;39;12
324;12;6369
324;40;12
324;18;1
324;13;130
324;11;16
324;14;44
324;16;1
324;44;1178884096
330;39;34
330;12;5115
330;40;58
330;13;125
330;11;43
330;14;94
330;44;3044338944
487;39;31
487;12;6376
487;40;226
487;18;2
487;13;166
487;11;100
487;14;61
487;16;2
487;44;3004989696
530;39;21
530;12;5135
530;40;45
530;18;2
530;13;126
530;11;32
530;14;8
530;16;2
530;44;1082728064
10;39;2
10;18;1
10;16;1
10;44;1240766080
29;39;8
29;40;27
29;44;4107086848
487;47;0.000001
487;34;0.062973
530;47;0.000001
530;34;0.062973
533;47;0.000001
533;34;0.062973
302;47;0.000001
302;8;1
302;19;10
302;20;10
302;23;1
302;25;59
302;26;82
302;27;17
302;28;10
302;29;1
302;31;37
302;32;1
302;33;11
302;35;6
302;34;0.075552
302;38;54.464691
609;84;11
609;65;11
609;68;8
609;72;8
609;78;3
609;79;1
609;81;32
679;162;6
679;129;6
679;130;7
679;131;7
679;132;11
679;133;9
679;137;1
679;138;1
679;139;1
679;140;1
679;142;1
679;146;1
679;134;1
679;135;2
679;164;2
679;165;2
679;166;2
679;151;1
679;155;4
679;156;4
679;163;4
681;162;6
681;129;6
681;130;10
681;131;9
681;132;14
681;133;10
681;137;2
681;138;1
681;139;1
681;140;2
681;142;1
681;146;1
681;134;1
681;135;2
681;164;2
681;165;2
681;166;2
681;151;1
681;155;8
681;156;8
681;163;8
683;162;6
683;129;6
683;130;10
683;131;7
683;132;20
683;133;11
683;138;1
683;139;1
683;140;1
683;142;1
683;146;1
683;134;1
683;135;2
683;164;2
683;165;2
683;166;2
683;151;1
683;153;3
683;155;0
683;156;4
683;163;0
685;162;5
685;129;5
685;130;13
685;131;10
685;132;23
685;133;12
685;137;1
685;138;1
685;139;1
685;140;2
685;142;1
685;146;1
685;134;1
685;135;2
685;164;2
685;165;2
685;166;2
685;151;1
685;153;3
685;155;4
685;156;8
685;163;4
715;162;2
715;129;2
715;130;1
715;131;1
715;132;1
715;133;1
715;138;1
715;139;1
715;142;1
715;146;1
715;134;1
715;135;1
715;164;1
715;165;1
715;166;1
715;151;1
715;155;0
715;163;0
716;162;2
716;129;2
716;130;2
716;131;2
716;132;1
716;133;1
716;137;1
716;138;1
716;139;1
716;140;1
716;142;1
716;146;1
716;134;1
716;135;1
716;164;1
716;165;1
716;166;1
716;151;1
716;155;4
716;156;4
716;163;4
717;162;2
717;129;2
717;130;3
