5;287;1197;6
287;5;1198;6
302;454;1197;113
454;302;1198;113
302;138;1195;2
138;302;1196;2
302;475;1197;134
475;302;1198;134
302;136;1197;142
136;302;1198;142
302;97;1195;1
97;302;1196;1
302;579;1197;7
579;302;1198;7
302;529;1195;1
529;302;1196;1
302;565;1197;8
565;302;1198;8
302;584;1197;1
584;302;1198;1
302;564;1197;9
564;302;1198;9
302;305;1195;10
305;302;1196;10
302;351;1197;3
351;302;1198;3
302;593;1197;2
593;302;1198;2
302;582;1197;1
582;302;1198;1
302;562;1197;3
562;302;1198;3
302;442;1197;1
442;302;1198;1
302;535;1197;25
535;302;1198;25
302;323;1197;5
323;302;1198;5
302;573;1197;2
573;302;1198;2
302;466;1197;2
466;302;1198;2
302;572;1197;1
572;302;1198;1
302;540;1197;1
540;302;1198;1
302;566;1197;2
566;302;1198;2
302;476;1197;2
476;302;1198;2
302;169;1195;6
169;302;1196;6
302;580;1197;6
580;302;1198;6
302;481;1195;2
481;302;1196;2
302;406;1197;3
406;302;1198;3
302;561;1197;3
561;302;1198;3
302;539;1197;1
539;302;1198;1
302;465;1197;8
465;302;1198;8
302;571;1197;1
571;302;1198;1
302;463;1197;8
463;302;1198;8
302;574;1197;2
574;302;1198;2
302;585;1197;1
585;302;1198;1
302;581;1197;2
581;302;1198;2
302;587;1197;1
587;302;1198;1
302;453;1197;1
453;302;1198;1
302;318;1197;5
318;302;1198;5
302;569;1197;1
569;302;1198;1
302;583;1197;1
583;302;1198;1
302;97;1197;2
97;302;1198;2
302;570;1197;1
570;302;1198;1
302;455;1195;1
455;302;1196;1
302;479;1197;2
479;302;1198;2
302;467;1197;1
467;302;1198;1
302;586;1197;1
586;302;1198;1
302;527;1195;1
527;302;1196;1
302;567;1197;1
567;302;1198;1
302;443;1197;1
443;302;1198;1
302;568;1197;1
568;302;1198;1
302;302;1149;1
302;302;1150;1
302;302;1151;1
302;302;1152;1
306;97;1197;4
97;306;1198;4
306;478;1197;1
478;306;1198;1
306;192;1197;1
192;306;1198;1
306;462;1197;4
462;306;1198;4
306;481;1197;1
481;306;1198;1
306;449;1197;1
449;306;1198;1
306;280;1195;1
280;306;1196;1
306;97;1195;5
97;306;1196;5
306;197;1195;1
197;306;1196;1
306;257;1197;1
257;306;1198;1
306;477;1197;1
477;306;1198;1
306;463;1197;1
463;306;1198;1
306;136;1195;1
136;306;1196;1
306;307;1195;1
307;306;1196;1
306;235;1197;1
235;306;1198;1
306;257;1195;1
257;306;1196;1
312;314;1197;1
314;312;1198;1
312;307;1195;1
307;312;1196;1
330;347;1197;1
347;330;1198;1
330;141;1195;1
141;330;1196;1
330;409;1195;1
409;330;1196;1
330;145;1195;1
145;330;1196;1
487;203;1197;1
203;487;1198;1
487;485;1195;4
485;487;1196;4
487;486;1195;3
486;487;1196;3
487;220;1197;1
220;487;1198;1
487;517;1195;1
517;487;1196;1
487;483;1195;3
483;487;1196;3
487;483;1197;1
483;487;1198;1
487;156;1195;1
156;487;1196;1
487;484;1195;4
484;487;1196;4
487;517;1197;1
517;487;1198;1
487;156;1197;1
156;487;1198;1
487;486;1197;1
486;487;1198;1
487;203;1195;1
203;487;1196;1
